mbd
INF: Download Backup Tags Memory
*TAG: 01 03 04/30/2020 13:46:29.090 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 13:52:29.110 3D9.1C2D25541C
*TAG: 01 01 04/30/2020 13:55:15.060 3E7.0000001D01
*TAG: 01 03 04/30/2020 13:58:29.010 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 14:04:29.060 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 14:10:29.010 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 14:16:29.140 3D9.1C2D25541C
*TAG: 01 01 04/30/2020 14:19:47.460 3DD.003D674875
*TAG: 01 03 04/30/2020 14:22:29.160 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 14:28:29.090 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 14:34:29.080 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 14:40:29.010 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 14:46:29.170 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 14:52:29.040 3D9.1C2D25541C
*TAG: 01 01 04/30/2020 14:55:15.130 3E7.0000001D01
*TAG: 01 03 04/30/2020 14:58:29.050 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 15:04:29.030 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 15:10:29.020 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 15:16:29.130 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 15:22:29.130 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 15:28:29.050 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 15:34:29.120 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 15:40:29.000 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 15:46:29.040 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 15:52:29.110 3D9.1C2D25541C
*TAG: 01 01 04/30/2020 15:55:15.130 3E7.0000001D01
*TAG: 01 03 04/30/2020 15:58:29.020 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 16:04:29.170 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 16:10:29.060 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 16:16:29.040 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 16:22:29.060 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 16:28:29.090 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 16:34:29.100 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 16:40:29.040 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 16:46:29.080 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 16:52:29.020 3D9.1C2D25541C
*TAG: 01 01 04/30/2020 16:55:15.100 3E7.0000001D01
*TAG: 01 03 04/30/2020 16:58:29.060 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 17:04:29.020 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 17:10:29.040 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 17:16:29.050 3D9.1C2D25541C
*TAG: 01 01 04/30/2020 17:22:04.300 3DD.003D9307BC
*TAG: 01 03 04/30/2020 17:22:29.030 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 17:28:29.130 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 17:34:29.110 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 17:40:29.130 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 17:46:29.400 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 17:52:29.050 3D9.1C2D25541C
*TAG: 01 01 04/30/2020 17:55:15.070 3E7.0000001D01
*TAG: 01 03 04/30/2020 17:58:29.060 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 18:04:29.020 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 18:10:29.070 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 18:16:29.050 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 18:22:29.040 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 18:28:29.220 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 18:34:29.170 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 18:40:29.030 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 18:46:29.070 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 18:52:29.150 3D9.1C2D25541C
*TAG: 01 01 04/30/2020 18:55:15.110 3E7.0000001D01
*TAG: 01 03 04/30/2020 18:58:29.010 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 19:04:29.080 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 19:10:29.120 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 19:16:29.210 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 19:22:29.100 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 19:28:29.030 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 19:34:29.040 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 19:40:29.020 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 19:46:29.020 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 19:52:29.050 3D9.1C2D25541C
*TAG: 01 01 04/30/2020 19:55:15.180 3E7.0000001D01
*TAG: 01 03 04/30/2020 19:58:29.000 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 20:04:29.070 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 20:10:29.170 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 20:16:29.050 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 20:22:29.040 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 20:28:29.040 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 20:34:29.110 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 20:40:29.060 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 20:46:29.070 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 20:52:29.020 3D9.1C2D25541C
*TAG: 01 01 04/30/2020 20:55:15.070 3E7.0000001D01
*TAG: 01 03 04/30/2020 20:58:29.070 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 21:04:29.040 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 21:10:29.060 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 21:16:29.030 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 21:22:29.140 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 21:28:29.060 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 21:34:29.180 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 21:40:29.030 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 21:46:29.040 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 21:52:29.030 3D9.1C2D25541C
*TAG: 01 01 04/30/2020 21:55:15.150 3E7.0000001D01
*TAG: 01 03 04/30/2020 21:58:29.050 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 22:04:29.070 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 22:10:29.190 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 22:16:29.070 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 22:22:29.060 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 22:28:29.040 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 22:34:29.010 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 22:40:29.050 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 22:46:29.080 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 22:52:29.030 3D9.1C2D25541C
*TAG: 01 01 04/30/2020 22:55:15.130 3E7.0000001D01
*TAG: 01 03 04/30/2020 22:58:29.010 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 23:04:29.080 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 23:10:29.110 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 23:16:29.210 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 23:22:29.090 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 23:28:29.110 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 23:34:29.040 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 23:40:29.060 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 23:46:29.330 3D9.1C2D25541C
*TAG: 01 03 04/30/2020 23:52:29.070 3D9.1C2D25541C
*TAG: 01 01 04/30/2020 23:55:15.070 3E7.0000001D01
*TAG: 01 03 04/30/2020 23:58:29.140 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 00:04:29.140 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 00:10:29.190 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 00:16:29.120 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 00:22:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 00:28:29.140 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 00:34:29.140 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 00:40:29.050 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 00:46:29.030 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 00:52:29.080 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 00:55:15.080 3E7.0000001D01
*TAG: 01 03 05/01/2020 00:58:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 01:04:29.050 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 01:10:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 01:16:29.110 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 01:22:29.100 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 01:28:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 01:34:29.030 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 01:40:29.160 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 01:46:29.120 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 01:52:29.020 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 01:55:15.170 3E7.0000001D01
*TAG: 01 03 05/01/2020 01:58:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 02:04:29.020 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 02:10:29.050 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 02:16:29.050 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 02:22:29.010 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 02:26:55.220 3DD.003D92FA5E
*TAG: 01 03 05/01/2020 02:28:29.110 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 02:34:29.050 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 02:40:29.020 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 02:46:29.040 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 02:52:29.010 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 02:55:15.140 3E7.0000001D01
*TAG: 01 03 05/01/2020 02:58:29.060 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 03:04:29.000 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 03:10:29.000 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 03:16:29.100 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 03:22:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 03:28:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 03:34:29.000 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 03:40:29.010 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 03:46:29.050 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 03:52:29.050 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 03:55:15.060 3E7.0000001D01
*TAG: 01 03 05/01/2020 03:58:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 04:04:29.010 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 04:10:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 04:16:29.130 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 04:22:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 04:28:29.130 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 04:34:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 04:40:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 04:46:29.110 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 04:52:29.000 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 04:55:15.090 3E7.0000001D01
*TAG: 01 03 05/01/2020 04:58:29.030 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 05:04:29.060 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 05:10:29.040 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 05:16:29.100 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 05:22:29.060 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 05:28:29.110 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 05:34:29.070 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 05:40:29.030 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 05:46:29.100 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 05:52:29.020 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 05:55:15.120 3E7.0000001D01
*TAG: 01 03 05/01/2020 05:58:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 06:04:29.000 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 06:10:29.040 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 06:16:29.020 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 06:21:45.940 3DD.003D461970
*TAG: 01 03 05/01/2020 06:22:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 06:28:29.010 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 06:34:29.050 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 06:40:29.020 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 06:46:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 06:52:29.210 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 06:55:15.060 3E7.0000001D01
*TAG: 01 03 05/01/2020 06:58:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 07:04:29.010 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 07:10:29.100 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 07:16:29.170 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 07:22:29.070 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 07:28:29.130 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 07:34:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 07:40:29.020 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 07:46:29.030 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 07:52:29.040 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 07:55:15.160 3E7.0000001D01
*TAG: 01 03 05/01/2020 07:58:29.050 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 08:04:29.000 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 08:10:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 08:16:29.040 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 08:22:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 08:28:29.070 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 08:34:29.030 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 08:40:29.030 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 08:46:29.040 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 08:52:29.110 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 08:55:15.150 3E7.0000001D01
*TAG: 01 03 05/01/2020 08:58:29.060 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 09:04:29.020 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 09:10:29.000 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 09:16:29.130 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 09:22:29.020 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 09:28:29.040 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 09:34:29.120 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 09:40:29.030 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 09:46:29.020 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 09:52:29.060 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 09:55:15.160 3E7.0000001D01
*TAG: 01 03 05/01/2020 09:58:29.060 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 10:04:29.020 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 10:10:29.140 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 10:16:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 10:22:29.220 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 10:28:29.000 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 10:34:29.150 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 10:40:29.040 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 10:46:29.020 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 10:52:29.110 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 10:55:15.150 3E7.0000001D01
*TAG: 01 03 05/01/2020 10:58:29.050 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 11:04:29.030 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 11:10:29.040 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 11:16:29.010 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 11:22:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 11:28:29.000 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 11:34:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 11:40:29.240 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 11:46:29.060 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 11:52:29.000 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 11:55:15.090 3E7.0000001D01
*TAG: 01 01 05/01/2020 11:55:15.190 3E7.0000001D01
*TAG: 01 03 05/01/2020 11:58:29.040 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 12:04:29.160 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 12:10:29.000 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 12:16:29.010 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 12:22:29.070 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 12:28:29.110 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 12:34:29.020 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 12:40:29.040 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 12:46:29.000 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 12:52:29.080 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 12:55:15.150 3E7.0000001D01
*TAG: 01 03 05/01/2020 12:58:29.020 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 13:04:29.110 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 13:10:29.110 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 13:16:29.140 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 13:22:29.010 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 13:28:29.150 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 13:34:29.100 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 13:40:29.190 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 13:43:00.110 3DD.003D674841
*TAG: 01 03 05/01/2020 13:46:29.070 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 13:52:29.030 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 13:55:15.090 3E7.0000001D01
*TAG: 01 03 05/01/2020 13:58:29.010 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 14:04:29.040 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 14:10:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 14:16:29.040 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 14:22:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 14:28:29.010 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 14:34:29.200 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 14:40:29.030 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 14:46:29.030 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 14:52:29.040 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 14:55:15.070 3E7.0000001D01
*TAG: 01 03 05/01/2020 14:58:29.060 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 15:04:29.000 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 15:10:29.080 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 15:11:36.150 3DD.003D67492F
*TAG: 01 03 05/01/2020 15:16:29.040 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 15:22:29.070 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 15:28:29.120 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 15:34:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 15:40:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 15:46:29.070 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 15:52:29.000 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 15:55:15.070 3E7.0000001D01
*TAG: 01 01 05/01/2020 15:55:15.140 3E7.0000001D01
*TAG: 01 03 05/01/2020 15:58:29.020 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 16:04:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 16:10:29.090 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 16:16:29.340 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 16:22:29.010 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 16:28:29.100 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 16:34:29.060 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 16:40:29.000 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 16:42:58.200 3DD.003D930757
*TAG: 01 03 05/01/2020 16:44:13.900 3DD.003D93074C
*TAG: 01 03 05/01/2020 16:46:29.010 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 16:52:29.010 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 16:55:15.150 3E7.0000001D01
*TAG: 01 03 05/01/2020 16:58:29.010 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 17:04:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 17:10:29.120 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 17:11:23.810 3DD.003D930769
*TAG: 01 03 05/01/2020 17:16:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 17:22:29.060 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 17:28:29.220 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 17:29:31.140 3DD.003D930783
*TAG: 01 01 05/01/2020 17:33:51.550 3DD.003D930783
*TAG: 01 03 05/01/2020 17:34:29.010 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 17:40:29.210 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 17:46:29.130 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 17:52:29.050 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 17:55:15.070 3E7.0000001D01
*TAG: 01 03 05/01/2020 17:58:29.140 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 18:02:09.020 3DD.003D93074E
*TAG: 01 03 05/01/2020 18:04:29.130 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 18:10:29.120 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 18:16:29.000 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 18:22:29.070 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 18:28:29.020 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 18:34:29.050 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 18:40:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 18:46:29.120 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 18:52:29.170 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 18:55:15.160 3E7.0000001D01
*TAG: 01 03 05/01/2020 18:58:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 19:04:29.300 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 19:10:29.080 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 19:16:29.060 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 19:22:29.140 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 19:28:29.060 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 19:34:29.100 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 19:40:29.030 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 19:46:29.030 3D9.1C2D25541C
*TAG: 01 03 05/01/2020 19:52:29.060 3D9.1C2D25541C
*TAG: 01 01 05/01/2020 19:55:15.090 3E7.0000001D01
*TAG: 01 01 05/01/2020 19:55:15.210 3E7.0000001D01
*TAG: 01 03 05/01/2020 19:58:29.050 3D9.1C2D25541C
